Fecha;Dias;Kwh;Potencia;id_tarifa;Peaje;id_periodo_tarifario;€/kw/dia;€/Kwh;Descuento
2025-01-01;31;111;16.44;1;3.0 TD;1;0.05772;0.235298;0.85
2025-01-01;31;57;16.44;1;3.0 TD;2;0.030776;0.235298;0.85
2025-01-01;31;0;16.44;1;3.0 TD;3;0.013535;0.235298;0.85
2025-01-01;31;0;16.44;1;3.0 TD;4;0.011859;0.235298;0.85
2025-01-01;31;0;16.44;1;3.0 TD;5;0.007895;0.235298;0.85
2025-01-01;31;119;16.44;1;3.0 TD;6;0.005103;0.235298;0.85
2025-02-01;28;123;16.44;1;3.0 TD;1;0.05772;0.235298;0.85
2025-02-01;28;64;16.44;1;3.0 TD;2;0.030776;0.235298;0.85
2025-02-01;28;0;16.44;1;3.0 TD;3;0.013535;0.235298;0.85
2025-02-01;28;0;16.44;1;3.0 TD;4;0.011859;0.235298;0.85
2025-02-01;28;0;16.44;1;3.0 TD;5;0.007895;0.235298;0.85
2025-02-01;28;88;16.44;1;3.0 TD;6;0.005103;0.235298;0.85
2025-03-01;31;0;16.44;1;3.0 TD;1;0.05772;0.235298;0.85
2025-03-01;31;99;16.44;1;3.0 TD;2;0.030776;0.235298;0.85
2025-03-01;31;49;16.44;1;3.0 TD;3;0.013535;0.235298;0.85
2025-03-01;31;0;16.44;1;3.0 TD;4;0.011859;0.235298;0.85
2025-03-01;31;0;16.44;1;3.0 TD;5;0.007895;0.235298;0.85
2025-03-01;31;109;16.44;1;3.0 TD;6;0.005103;0.235298;0.85
2025-04-01;30;0;16.44;1;3.0 TD;1;0.05772;0.235759;0.85
2025-04-01;30;0;16.44;1;3.0 TD;2;0.030776;0.235759;0.85
2025-04-01;30;0;16.44;1;3.0 TD;3;0.013535;0.235759;0.85
2025-04-01;30;119;16.44;1;3.0 TD;4;0.011859;0.235759;0.85
2025-04-01;30;59;16.44;1;3.0 TD;5;0.007895;0.235759;0.85
2025-04-01;30;84;16.44;1;3.0 TD;6;0.005103;0.235759;0.85
2025-05-01;31;0;16.44;1;3.0 TD;1;0.05772;0.235759;0.85
2025-05-01;31;0;16.44;1;3.0 TD;2;0.030776;0.235759;0.85
2025-05-01;31;0;16.44;1;3.0 TD;3;0.013535;0.235759;0.85
2025-05-01;31;93;16.44;1;3.0 TD;4;0.011859;0.235759;0.85
2025-05-01;31;38;16.44;1;3.0 TD;5;0.007895;0.235759;0.85
2025-05-01;31;109;16.44;1;3.0 TD;6;0.005103;0.235759;0.85
2025-06-01;30;0;16.44;1;3.0 TD;1;0.05772;0.235759;0.85
2025-06-01;30;0;16.44;1;3.0 TD;2;0.030776;0.235759;0.85
2025-06-01;30;104;16.44;1;3.0 TD;3;0.013535;0.235759;0.85
2025-06-01;30;57;16.44;1;3.0 TD;4;0.011859;0.235759;0.85
2025-06-01;30;0;16.44;1;3.0 TD;5;0.007895;0.235759;0.85
2025-06-01;30;131;16.44;1;3.0 TD;6;0.005103;0.235759;0.85
2025-07-01;31;112;16.44;1;3.0 TD;1;0.05772;0.235759;0.85
2025-07-01;31;72;16.44;1;3.0 TD;2;0.030776;0.235759;0.85
2025-07-01;31;0;16.44;1;3.0 TD;3;0.013535;0.235759;0.85
2025-07-01;31;0;16.44;1;3.0 TD;4;0.011859;0.235759;0.85
2025-07-01;31;0;16.44;1;3.0 TD;5;0.007895;0.235759;0.85
2025-07-01;31;148;16.44;1;3.0 TD;6;0.005103;0.235759;0.85
