Fecha;Mes;Año;Dia de la semana;HoraFormato;Consumida Kwh;Reactiva inductiva consumida kVARh;id_periodo_tarifario;HoraNum
2024-01-01;1;2024;lunes;00:00:00;1;0;3;0
2024-01-01;1;2024;lunes;01:00;0;0;3;1
2024-01-01;1;2024;lunes;02:00;0;0;3;2
2024-01-01;1;2024;lunes;03:00;0;0;3;3
2024-01-01;1;2024;lunes;04:00;0;0;3;4
2024-01-01;1;2024;lunes;05:00;0;0;3;5
2024-01-01;1;2024;lunes;06:00;0;0;3;6
2024-01-01;1;2024;lunes;07:00;2;2;3;7
2024-01-01;1;2024;lunes;08:00;5;6;3;8
2024-01-01;1;2024;lunes;09:00;2;0;3;9
2024-01-01;1;2024;lunes;10:00;0;0;3;10
2024-01-01;1;2024;lunes;11:00;1;0;3;11
2024-01-01;1;2024;lunes;12:00;3;0;3;12
2024-01-01;1;2024;lunes;13:00;3;0;3;13
2024-01-01;1;2024;lunes;14:00;0;0;3;14
2024-01-01;1;2024;lunes;15:00;1;0;3;15
2024-01-01;1;2024;lunes;16:00;0;0;3;16
2024-01-01;1;2024;lunes;17:00;0;0;3;17
2024-01-01;1;2024;lunes;18:00;1;1;3;18
2024-01-01;1;2024;lunes;19:00;2;2;3;19
2024-01-01;1;2024;lunes;20:00;5;5;3;20
2024-01-01;1;2024;lunes;21:00;1;0;3;21
2024-01-01;1;2024;lunes;22:00;1;0;3;22
2024-01-01;1;2024;lunes;23:00;0;0;3;23
2024-01-02;1;2024;martes;00:00:00;0;1;3;0
2024-01-02;1;2024;martes;01:00;0;0;3;1
2024-01-02;1;2024;martes;02:00;0;0;3;2
2024-01-02;1;2024;martes;03:00;0;0;3;3
2024-01-02;1;2024;martes;04:00;0;0;3;4
2024-01-02;1;2024;martes;05:00;0;0;3;5
2024-01-02;1;2024;martes;06:00;0;0;3;6
2024-01-02;1;2024;martes;07:00;3;4;3;7
2024-01-02;1;2024;martes;08:00;4;3;2;8
2024-01-02;1;2024;martes;09:00;2;1;2;9
2024-01-02;1;2024;martes;10:00;0;0;1;10
2024-01-02;1;2024;martes;11:00;1;2;1;11
2024-01-02;1;2024;martes;12:00;7;7;1;12
2024-01-02;1;2024;martes;13:00;2;0;1;13
2024-01-02;1;2024;martes;14:00;0;0;2;14
2024-01-02;1;2024;martes;15:00;1;0;2;15
2024-01-02;1;2024;martes;16:00;0;0;2;16
2024-01-02;1;2024;martes;17:00;0;0;2;17
2024-01-02;1;2024;martes;18:00;0;0;1;18
2024-01-02;1;2024;martes;19:00;3;4;1;19
2024-01-02;1;2024;martes;20:00;4;4;1;20
2024-01-02;1;2024;martes;21:00;1;1;1;21
2024-01-02;1;2024;martes;22:00;2;0;2;22
2024-01-02;1;2024;martes;23:00;1;0;2;23
2024-01-03;1;2024;miércoles;00:00:00;0;0;3;0
2024-01-03;1;2024;miércoles;01:00;0;0;3;1
2024-01-03;1;2024;miércoles;02:00;0;0;3;2
2024-01-03;1;2024;miércoles;03:00;0;0;3;3
2024-01-03;1;2024;miércoles;04:00;1;0;3;4
2024-01-03;1;2024;miércoles;05:00;0;0;3;5
2024-01-03;1;2024;miércoles;06:00;0;0;3;6
2024-01-03;1;2024;miércoles;07:00;3;2;3;7
2024-01-03;1;2024;miércoles;08:00;5;6;2;8
2024-01-03;1;2024;miércoles;09:00;1;0;2;9
2024-01-03;1;2024;miércoles;10:00;0;0;1;10
2024-01-03;1;2024;miércoles;11:00;0;0;1;11
2024-01-03;1;2024;miércoles;12:00;3;2;1;12
2024-01-03;1;2024;miércoles;13:00;3;2.5;1;13
2024-01-03;1;2024;miércoles;14:00;1.626;1.016;2;14
2024-01-03;1;2024;miércoles;15:00;1;0;2;15
