NombreMes;Mes;Año;id_periodo_tarifario;kW;Fecha;Hora
jun;6;2024;6;2;2024-06-01;13:30:00
jun;6;2024;4;2;2024-06-05;08:30:00
jun;6;2024;3;3;2024-06-07;14:00:00
jul;7;2024;1;2;2024-07-01;09:45:00
jul;7;2024;6;3;2024-07-07;22:00:00
jul;7;2024;2;3;2024-07-16;23:15:00
ago;8;2024;6;2;2024-08-03;14:00:00
ago;8;2024;4;3;2024-08-20;08:15:00
ago;8;2024;3;3;2024-08-20;11:15:00
sep;9;2024;6;2;2024-09-01;14:30:00
sep;9;2024;4;2;2024-09-11;09:00:00
sep;9;2024;3;3;2024-09-20;11:00:00
oct;10;2024;6;3;2024-10-19;20:15:00
oct;10;2024;5;3;2024-10-28;09:00:00
oct;10;2024;4;4;2024-10-30;19:30:00
nov;11;2024;3;2;2024-11-07;18:00:00
nov;11;2024;2;3;2024-11-13;09:30:00
nov;11;2024;6;5;2024-11-17;13:45:00
dic;12;2024;2;4;2024-12-04;09:00:00
dic;12;2024;6;4;2024-12-25;13:45:00
dic;12;2024;1;5;2024-12-31;20:15:00
ene;1;2025;6;5;2025-01-01;10:00:00
ene;1;2025;1;6;2025-01-03;13:30:00
ene;1;2025;2;3;2025-01-16;08:15:00
feb;2;2025;6;4;2025-02-01;11:30:00
feb;2;2025;1;3;2025-02-03;09:45:00
feb;2;2025;2;4;2025-02-05;08:30:00
mar;3;2025;2;4;2025-03-06;12:15:00
mar;3;2025;3;3;2025-03-07;08:45:00
mar;3;2025;6;3;2025-03-09;13:30:00
abr;4;2025;4;3;2025-04-03;11:15:00
abr;4;2025;5;4;2025-04-16;09:00:00
abr;4;2025;6;3;2025-04-20;13:30:00
may;5;2025;4;4;2025-05-06;11:45:00
may;5;2025;5;2;2025-05-06;14:15:00
may;5;2025;6;3;2025-05-11;11:30:00
jun;6;2025;6;2;2025-06-01;12:15:00
jun;6;2025;3;2;2025-06-03;10:15:00
jun;6;2025;4;2;2025-06-27;15:15:00
jul;7;2025;2;1;2025-07-01;17:15:00
jul;7;2025;6;2;2025-07-05;12:30:00
jul;7;2025;1;3;2025-07-14;19:00:00
ago;8;2025;6;4;2025-08-09;19:15:00
ago;8;2025;3;4;2025-08-13;22:00:00
ago;8;2025;4;4;2025-08-25;14:15:00
sep;9;2025;3;3;2025-09-01;10:30:00
sep;9;2025;6;5;2025-09-20;14:30:00
sep;9;2025;4;3;2025-09-24;09:00:00
oct;10;2025;4;4;2025-10-08;14:00:00
oct;10;2025;5;4;2025-10-13;14:30:00
oct;10;2025;6;3;2025-10-18;12:15:00
nov;11;2025;2;4;2025-11-07;13:45:00
nov;11;2025;6;6;2025-11-09;10:15:00
nov;11;2025;3;3;2025-11-12;08:45:00
dic;12;2025;6;4;2025-12-06;21:30:00
dic;12;2025;1;5;2025-12-15;10:00:00
dic;12;2025;2;3;2025-12-18;14:15:00
